Afghanistan;"agdpro_pall_992_i_AF
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2017;3329.7411
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1980;6337.9492
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1981;6187.0322
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1982;6196.1895
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1983;6115.6274
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1984;6151.6992
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1985;6220.0474
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1986;6165.2979
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1987;6059.3301
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1988;6131.9717
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1989;6196.9722
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1990;6207.8584
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1991;6158.2358
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1992;6016.2661
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1993;5864.2075
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1994;5829.6191
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1995;5838.5322
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1996;5987.6118
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1997;6011.7979
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1998;6046.7476
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;1999;6051.0586
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2000;6087.1753
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2001;6161.1475
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2002;6340.8862
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2003;6519.8599
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2004;6715.4077
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2005;6923.2031
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2006;7130.0879
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2007;7359.9727
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2008;7583.3301
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2009;7635.0527
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2010;7810.0308
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2011;7690.7271
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2012;7889.8921
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2013;7822.0771
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2014;7920.3252
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2015;7974.4971
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2016;7938.771
Africa;"agdpro_pall_992_i_QB
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
";pall;2017;8058.124
